36.72791310		127.44277500		90.05337000
36.72791330		127.44282200		89.67745000
36.72791360		127.44287480		89.50173000
36.72791420		127.44293180		89.25189000
36.72791490		127.44299090		89.12309000
36.72791590		127.44305050		88.82638000
36.72791680		127.44311160		88.90746000
36.72791750		127.44317450		89.32279000
36.72791830		127.44323830		88.93814000
36.72791930		127.44330240		88.84776000
36.72792010		127.44336630		89.27619000
36.72792080		127.44342980		89.15870000
36.72792120		127.44349310		89.86769000
36.72792150		127.44355660		89.78053000
36.72792210		127.44362040		89.21624000
36.72792310		127.44368450		88.82029000
36.72792400		127.44374880		89.12583000
36.72792440		127.44381300		89.75939000
