GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
85.21138000		84.73342101		-3.41901862		-89		-5.36977617		-4.54907917		-0.71704916
85.21138000		83.77735214		-4.37508750		-84		-5.07125568		-5.51895107		-0.69658671
75.67560000		75.09252315		-5.40268805		-132		-7.96105130		-14.28224525		-0.62497994
75.67560000		74.06416183		-6.43104937		-228		-13.73281353		-15.36426666		-0.57074677
76.15527000		75.70680501		-7.44209758		-247		-14.84950190		-13.84499564		-0.44767102
76.15527000		74.70504543		-8.44385717		-241		-14.50057388		-14.91266050		-0.38177397
78.45742000		77.94574884		-9.42987539		-229		-13.79564015		-11.73245426		-0.32128995
78.45742000		76.99411097		-10.38151327		-210		-12.60118392		-12.73909116		-0.26634001
74.17908000		73.81337586		-11.28115534		-219		-13.15405105		-16.04688125		-0.13794650
74.17908000		72.95065756		-12.14387364		-257		-15.45501338		-17.00216465		-0.04686453
73.99769000		73.55717942		-12.95080284		-277		-1.11346775		-16.49259849		0.04982760
73.99769000		72.81663050		-13.69135175		-279		-16.75210019		-17.32565930		0.14256867
70.96875000		70.62303432		-14.35599278		-298		-10.27374078		-19.63058885		0.25385789
70.96875000		70.03701483		-14.94201228		-323		-19.38201618		-20.32454323		0.36173107
70.16609000		69.88528143		-15.44394952		-336		-20.20708427		-20.57431045		0.45971632
70.16609000		69.46051121		-15.86871975		-344		-20.66206329		-21.10576570		0.57089648
70.26259000		70.09381103		-16.22130959		-347		-17.41294720		-20.59670554		0.69057801
70.26259000		69.81622414		-16.49889648		-345		-20.75999699		-20.96769826		0.78414216
66.06848000		65.97372279		-16.71464968		-368		-22.11015046		-24.96854118		0.94231071
66.06848000		65.81363384		-16.87473862		-412		-24.74686784		-25.23949695		1.05320170
70.60488000		70.55768088		-16.97414262		-393		-23.58429845		-20.57330764		1.13103065
70.60488000		70.51681484		-17.01500866		-345		-20.71775800		-20.70489758		1.22171443
69.07906000		69.09366652		-17.00128357		-352		-21.14505358		-22.26359869		1.35725399
69.07906000		69.16809621		-16.92685387		-367		-22.02104416		-22.28642758		1.45445087
69.31464000		69.39493090		-16.79189230		-370		-22.24901171		-22.15244516		1.54725106
69.31464000		69.56388786		-16.62293533		-369		-22.15941883		-22.07914888		1.64154830
73.29983000		73.40629055		-16.39550868		-353		-21.22315680		-18.28087331		1.68689994
73.29983000		73.68808095		-16.11371828		-320		-19.25666745		-18.07627702		1.76412814
69.12188000		69.25942931		-15.79601285		-318		-19.12164360		-22.62461689		1.88387119
69.12188000		69.63032828		-15.42511388		-353		-0.17156430		-22.34839204		1.97868763
73.09860000		73.39025211		-14.98832502		-350		-21.05693209		-18.63184882		2.02171397
73.09860000		73.86217567		-14.51640146		-314		-18.85747400		-18.23614977		2.09803816
73.26880000		73.63014499		-14.01802317		-308		-18.49314880		-18.55445636		2.18458832
73.26880000		74.16324048		-13.48492769		-308		-18.50426410		-18.41583635		2.57349266
74.90681000		75.22890292		-12.91425114		-284		-17.04139483		-14.11277292		2.64139439
74.90681000		75.82607970		-12.31707436		-250		-15.02868027		-16.80474117		2.62242397
79.59203000		79.94134527		-11.73365020		-242		-6.67724480		-12.73198637		2.67326310
79.59203000		80.45773564		-11.21725983		-221		-13.26885895		-12.25070534		2.70812559
79.51357000		79.75389276		-10.72993493		-190		-11.40761062		-9.35791007		2.80661321
79.51357000		80.21837845		-10.26544925		-160		-9.61305169		-8.91575519		2.82907112
