GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		psi		atan_tmp		s		x_error
67.41590000		67.48951108		-14.44129178		-359		-21.59273368		-22.84016591		22.51059810		0.32956780		3.73397738		0.09203371
67.41590000		67.69707443		-14.23372842		-374		-22.47951030		-22.73630084		22.30303759		0.43326325		3.66463358		0.12099223
70.37343000		67.94602730		-13.98477556		-378		-22.71997370		-22.59175810		22.05472754		0.53703056		3.50830685		0.14997161
70.37343000		68.24285165		-13.68795121		-376		-13.39851782		-22.39430635		21.75719876		0.63710758		3.43900353		0.17792133
73.02458000		73.22306387		-13.35242505		-346		-20.78601830		-17.42602564		16.77708971		0.64893593		3.29686416		0.18122484
73.02458000		73.60417931		-12.97130960		-302		-18.13970460		-17.20812959		16.39593200		0.81219759		3.24015560		0.19847060
73.44723000		74.02821055		-12.54727837		-286		-17.17390634		-16.87772372		15.97231816		0.90540556		3.11485766		0.22125073
73.44723000		74.49663178		-12.07885714		-280		-16.81193077		-16.46725045		15.50593833		0.96131212		3.06755067		0.23491490
73.85161000		74.11360914		-11.58012171		-277		-16.67536650		-16.93368864		15.88683163		1.04685701		2.92343425		0.25582389
73.85161000		74.62721802		-11.06651283		-278		-2.01377247		-16.47570607		15.37359569		1.10211038		2.87661598		0.26932958
73.18908000		73.43704835		-10.57534620		-282		-16.92236340		-17.71935098		16.56295857		1.15639240		2.75147360		0.28259834
73.18908000		73.92305656		-10.08933800		-289		-17.38129952		-17.29150025		16.07696646		1.21453379		2.70476554		0.29681104
78.93393000		79.20218942		-9.59915960		-263		-15.83285240		-12.05673796		10.80014111		1.25659685		2.56611700		0.30709377
78.93393000		79.68966299		-9.11168602		-209		-12.59035229		-11.60446989		10.31034950		1.29412039		2.51843521		0.31626704
79.64318000		79.83934445		-8.63193249		-193		-11.63550231		-11.52048551		10.16089638		1.35958914		2.40120572		0.33227266
79.64318000		80.27534485		-8.19593208		-190		-11.41363874		-11.11981915		9.72487059		1.39494856		2.35365179		0.34091759
78.17060000		78.39058550		-7.80065978		-196		-11.81415359		-13.05021059		11.60955402		1.44065657		2.22304612		0.35209301
78.17060000		78.74301082		-7.44823445		-212		-12.72232155		-12.74220766		11.26111815		1.48108951		2.17673589		0.36197906
77.31901000		79.05730439		-7.13394088		-212		-12.73163119		-12.49380269		10.94301484		1.55078785		2.06218101		0.37902151
77.31901000		79.38670666		-6.80453861		-207		-0.07613643		-12.20253480		10.61332218		1.58921262		2.01560082		0.38841751
76.87115000		77.05315847		-6.44752411		-215		-12.95130542		-14.60541163		12.94709402		1.65831761		1.90153351		0.40531661
76.87115000		77.38363264		-6.11704995		-235		-14.10664786		-14.32009960		12.61655688		1.70354272		1.85653536		0.41637671
85.22119000		85.33815037		-5.80284473		-211		-12.70523244		-6.40376325		4.66564379		1.73811946		1.81066280		0.42483302
85.22119000		85.68850850		-5.45248659		-134		-8.08667432		-6.06594209		4.31167201		1.75427009		1.76257925		0.42878303
80.35413000		80.58420567		-5.07692959		-131		-7.91880013		-11.18098208		9.41604879		1.76493329		1.59336933		0.43139100
80.35413000		80.89395297		-4.76718230		-176		-10.59068792		-10.90409332		9.10612485		1.79796847		1.54823031		0.43947083
83.31171000		83.46940041		-4.50295833		-168		-10.10837377		-8.36143310		6.53067783		1.83075527		1.44153300		0.44749020
83.31171000		83.73401879		-4.23833995		-142		-8.52752287		-8.11952910		6.26598577		1.85354333		1.39651758		0.45306413
80.60008000		80.75457972		-3.96182056		-152		-9.15106618		-11.11667384		9.24551785		1.87115599		1.30308647		0.45737226
80.60008000		80.98769659		-3.72870368		-178		-10.69304782		-10.91554601		9.01235285		1.90319316		1.26089518		0.46520892
85.65433000		85.74642572		-3.53496685		-159		-9.57108607		-6.18645651		4.25372865		1.93272786		1.16104617		0.47243370
85.65433000		85.99010206		-3.29129050		-113		-6.80412595		-5.95764247		4.01004213		1.94760034		1.11753431		0.47607190
80.80726000		86.27376039		-3.00763218		-98		-5.92309009		-5.69387089		3.72699142		1.96687948		1.04211672		0.48078819
80.80726000		86.48717805		-2.79421451		-94		-5.68304977		-5.49279853		3.51294007		1.97985846		1.00030108		0.48396332
85.28012000		85.37517607		-2.63497329		-98		-5.90648502		-6.63309742		4.62489087		2.00820655		0.89910016		0.49089846
85.28012000		85.53089502		-2.47925433		-108		-6.48628454		-6.49360243		4.46915162		2.02445080		0.86167441		0.49487260
84.15787000		84.23554712		-2.34483555		-115		-6.95853558		-7.81134159		5.76453258		2.04680901		0.78720354		0.50034264
84.15787000		84.37130936		-2.20907331		-126		-7.61733899		-7.69681264		5.62971049		2.06710215		0.75583453		0.50530759
83.02323000		83.12904283		-2.04487619		-136		-8.17634520		-8.99352714		6.87104806		2.12247908		0.70611050		0.51885683
83.02323000		83.29495584		-1.87896318		-149		-8.94891612		-8.85196498		6.70514608		2.14681890		0.68310339		0.52481243
83.51670000		83.60987902		-1.72341703		-145		-8.75601171		-8.54715960		6.39020089		2.15695871		0.63789247		0.52729355
83.51670000		83.79133417		-1.54196189		-141		-8.51095083		-8.38831939		6.20879388		2.17952551		0.62537493		0.53281556
81.89614000		81.99881574		-1.34443445		-151		-9.09728109		-10.55652505		8.00124117		2.55528388		0.60987137		0.53553250
81.89614000		82.16087665		-1.18237354		-144		-8.67734752		-7.14570793		4.53903620		2.60667173		0.65971349		0.54631701
89.61703000		89.68400594		-1.02702716		-92		-5.52453657		0.43512391		-2.98279223		2.54766832		0.62244184		0.53393433
89.61703000		89.87284463		-0.83818848		-23		-1.43869982		0.63176346		-3.17293678		2.54117333		0.61800435		0.53257134
85.83382000		85.94002473		-0.67920464		-34		-2.04147645		-6.60834123		4.06002411		2.54831713		0.66718210		0.53407049
