GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result		stanley_steering_angle		psi		atan_tmp		s		x_error
261.74992000		261.74994867		0.00002867		500		179.53695645		179.53695725		-171.74994685		-7.78701040		13.00842076		1.36752000
261.74992000		261.75024368		0.00007822		500		179.58719146		179.58719122		-171.75024215		-7.83694907		13.00936167		1.37640000
261.74992000		261.75084631		0.00068085		500		179.58779411		179.58779385		-171.75084478		-7.83694907		13.00936167		1.37640000
261.74992000		261.74228862		-0.00745284		500		179.57924483		179.57923858		-171.74228952		-7.83694907		13.00936167		1.37640000
261.74992000		261.73594593		-0.01379552		500		179.57291176		179.57289983		-171.73594440		7.83694907		13.00936167		1.37640000
261.74992000		261.74244647		-0.02508795		500		179.57956287		179.57943390		-171.74248484		-7.83694907		13.00936167		1.37640000
261.74992000		261.72855382		-0.03898060		500		179.56552234		179.56550684		-171.72855778		-7.83694907		13.00936167		1.37640000
261.74992000		261.74216828		-0.05155732		500		179.57913073		179.57911789		-171.74216882		-7.83694907		13.00936167		1.37640000
261.74992000		261.72806743		-0.06565816		500		179.56503891		179.56502186		-171.72807280		-7.83694907		13.00936167		1.37640000
261.74992000		261.73912004		-0.08285136		500		179.57608517		179.57606970		-171.73912064		-7.83694907		13.00936167		1.37640000
261.74992000		261.72561423		-0.09635717		500		179.56268597		179.56256908		-171.72562002		-7.83694907		13.00936167		1.37640000
261.74992000		261.73777200		-0.11133654		500		179.57474588		179.57472646		-171.73777740		-7.83694907		13.00936167		1.37640000
261.74992000		261.72208144		-0.12702710		500		179.55905553		179.55903532		-171.72208625		-7.83694907		13.00936167		1.37640000
261.74992000		261.73886143		-0.14083275		500		179.57582712		179.57581492		-171.73886586		-7.83694907		13.00936167		1.37640000
261.74992000		261.72402613		-0.15566806		500		179.56098856		179.56097827		-171.72402920		-7.83694907		13.00936167		1.37640000
261.74992000		261.73760257		-0.17248948		500		179.57476048		179.57473857		-171.73778951		-7.83694907		13.00936167		1.37640000
261.74992000		261.72109504		-0.18899701		500		179.55806051		179.55804344		-171.72109437		-7.83694907		13.00936167		1.37640000
261.74992000		261.73631251		-0.20768580		500		179.57329381		179.57327519		-171.73631116		7.83694907		13.00936167		1.37640000
261.74992000		261.72118891		-0.22280940		500		179.55817119		179.55815001		-171.72118738		7.83694907		13.00936167		1.37640000
261.74992000		261.70301348		-0.24098483		500		179.53999093		179.53996634		-171.70301728		-7.83694907		13.00936167		1.37640000
261.74992000		261.68340217		-0.26059614		500		179.52060464		179.52058656		-171.68363749		-7.83694907		13.00936167		1.37640000
261.74992000		261.73450718		-0.27920473		500		179.57148195		179.57145917		-171.73451011		-7.83694907		13.00936167		1.37640000
261.74992000		261.70937402		-0.30433789		500		179.54634853		179.54632458		-171.70937551		-7.83694907		13.00936167		1.37640000
261.74992000		261.74999656		-0.30665976		500		179.58693118		179.58694107		-171.74999200		-7.83694907		13.00936167		1.37640000
261.74992000		261.75981805		-0.29683826		500		179.59676932		179.59676604		-171.75981697		-7.83694907		13.00936167		1.37640000
261.74992000		261.73889576		-0.30928360		500		179.57599473		179.57585098		-171.73890191		-7.83694907		13.00936167		1.37640000
261.74992000		261.74169485		-0.30648452		500		179.57863095		179.57864028		-171.74169121		-7.83694907		13.00936167		1.37640000
261.74992000		261.74870354		-0.30476185		500		179.58565944		179.58565385		-171.74870479		-7.83694907		13.00936167		1.37640000
261.74992000		261.74433393		-0.30913146		500		179.58128047		179.58128127		-171.74433221		-7.83694907		13.00936167		1.37640000
261.74992000		261.75464444		-0.30400271		500		179.59158914		179.59159103		-171.75464196		-7.83694907		13.00936167		1.37640000
261.74992000		261.75157280		-0.30707435		500		179.58859863		179.58852364		-171.75157458		-7.83694907		13.00936167		1.37640000
261.74992000		261.74979332		-0.30772414		500		179.58673825		179.58673999		-171.74979093		-7.83694907		13.00936167		1.37640000
261.74992000		261.75140654		-0.30611092		500		179.58836266		179.58835494		-171.75140588		-7.83694907		13.00936167		1.37640000
261.74992000		261.74759385		-0.30916149		500		179.58454688		179.58454175		-171.74759268		-7.83694907		13.00936167		1.37640000
261.74992000		261.74893829		-0.30781706		500		179.58587894		179.58588359		-171.74893452		-7.83694907		13.00936167		1.37640000
261.74992000		261.75007455		-0.30716468		500		179.58707578		179.58707169		-171.75012262		-7.83694907		13.00936167		1.37640000
261.74992000		261.74850754		-0.30873169		500		179.58545416		179.58545494		-171.74850587		-7.83694907		13.00936167		1.37640000
261.74992000		261.75111528		-0.30765949		500		179.58805826		179.58806210		-171.75111303		-7.83694907		13.00936167		1.37640000
261.74992000		261.75100448		-0.30777029		500		179.58795361		179.58795238		-171.75100331		-7.83694907		13.00936167		1.37640000
261.74992000		261.74727076		-0.31056109		500		179.58421556		179.58421735		-171.74726828		-7.83694907		13.00936167		1.37640000
261.74992000		261.74856992		-0.30926192		500		179.58550817		179.58550897		-171.74855990		-7.83694907		13.00936167		1.37640000
261.74992000		261.74936390		-0.30968168		500		179.58631620		179.58631194		-171.74936288		-7.83694907		13.00936167		1.37640000
261.74992000		261.74763518		-0.31141040		500		179.58457768		179.58458262		-171.74763355		-7.83694907		13.00936167		1.37640000
261.74992000		261.75082349		-0.30987487		500		179.58777244		179.58777114		-171.75082208		-7.83694907		13.00936167		1.37640000
261.74992000		261.74877631		-0.31192205		500		179.58572936		179.58572507		-171.74877600		-7.83694907		13.00936167		1.37640000
261.74992000		261.75106294		-0.31242708		500		179.58799205		179.58800995		-171.75106088		-7.83694907		13.00936167		1.37640000
