GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result
69.17953000		69.16041797		-16.41166083		-367		-22.02778046
69.17953000		69.14406781		-16.42801100		-362		-21.76783001
68.81247000		68.82306036		-16.36843114		-361		-32678.08454038
68.81247000		68.95235111		-16.23914038		-365		-21.93701221
69.87885000		69.91427723		-16.04732432		-366		-21.99608612
69.87885000		70.17014087		-15.79146067		-358		-21.50191514
69.37528000		69.47567133		-15.48574595		-353		-21.23948934
69.37528000		69.83063141		-15.13078587		-359		-8140.69289742
71.01636000		71.12312786		-14.70945559		-360		-21.61776260
71.01636000		71.60236372		-14.23021973		-347		-20.86125010
71.01636000		72.12727294		-13.70531052		-336		-20.19705864
71.51456000		72.04023950		-13.13205888		-334		-20.07943208
73.49749000		73.68258388		-12.51266595		-329		-19.75882021
73.49749000		74.34221250		-11.85303733		-311		-6883.25392151
75.37267000		75.54499159		-11.15362552		-295		-17.75065223
75.37267000		76.26806236		-10.43055474		-281		-16.91651705
79.26096000		79.45154426		-9.76821956		-261		-15.70246089
79.26096000		80.04833063		-9.17143319		-227		-13.62873131
80.20641000		80.34749917		-8.59246760		-206		-12.38371858
80.20641000		80.86786316		-8.07210361		-201		-12.07771482
79.05026000		79.17273806		-7.63151706		-199		-11.98780460
79.05026000		79.57477989		-7.22947524		-208		-12.50303166
80.67938000		80.77636903		-6.83528229		-216		-13.00522659
80.67938000		81.17013061		-6.44152070		-209		-12.57107375
80.10654000		80.24118367		-6.04023169		-201		-15483.55344361
80.10654000		80.64227665		-5.63913871		-206		-10528.55948533
84.98705000		85.07165331		-5.28026459		-200		-12.03722108
84.98705000		85.41657305		-4.93534484		-168		-10.08819012
83.87447000		84.02581806		-4.56271110		-138		-14670.99460917
83.87447000		84.35845387		-4.23007201		-141		-13863.06563551
83.55639000		84.61200339		-3.97652577		-146		-13228.16626475
83.55639000		84.83883878		-3.74969038		-144		-8.64787031
88.41397000		88.52563934		-3.50415546		-130		-7.83029677
88.41397000		88.76700258		-3.26279222		-103		-6.21176032
80.75699000		80.84486126		-3.04358689		-101		-6.07485493
80.75699000		81.03464669		-2.85380146		-147		-8.85697977
86.79496000		86.82966643		-2.71169354		-187		-22096.56693522
86.79496000		86.99036794		-2.55099203		-151		-9.11762510
85.18852000		85.32231030		-2.32392532		-120		-10496.73748622
85.18852000		85.56437373		-2.08186188		-122		-7.36060456
85.86610000		85.95312111		-1.89274725		-130		-6475.05167939
85.86610000		86.11886817		-1.72700020		-126		-7.60784894
91.10990000		91.17264010		-1.53431734		-112		-6.76042179
91.10990000		91.37378071		-1.33317447		-78		-4.69648809
80.60877000		80.68158137		-1.15405312		-73		-4.42427727
80.60877000		80.82944834		-1.00618614		-125		-1758.70670335
91.03613000		91.07302607		-0.89282035		-173		-1602.65236342
91.03613000		91.19687735		-0.76896907		-108		-10415.37092841
87.35945000		87.45844894		-0.59063093		-58		-3.52626133
87.35945000		87.64845198		-0.40062788		-75		-4.55768520
85.08946000		85.14936886		-0.26621544		-108		-5487.15141333
85.08946000		85.24604819		-0.16953612		-121		-7.30895868
88.07700000		88.15462592		-0.04814186		-128		-15128.84629216
88.07700000		88.31683373		0.11406429		-109		-6.58534527
84.28841000		84.34384849		0.26907374		-101		-6.10037383
84.28841000		84.48005650		0.40528175		-125		-8860.64851180
89.33576000		84.59549215		0.52071740		-142		-8.56250893
89.33576000		84.72242121		0.64764647		-127		-8431.88817387
88.42731000		88.51865549		0.80939240		-96		-10872.50201161
88.42731000		88.68390201		0.97463892		-91		-5.51352466
89.82519000		89.88523739		1.09694922		-84		-5.04020082
89.82519000		89.98757892		1.19929076		-79		-4.76717282
86.39448000		86.44894493		1.31432945		-69		-2683.48387619
86.39448000		86.55076890		1.41615342		-67		-4.02075339
89.36961000		89.40181383		1.50049219		-58		-3.48516850
89.36961000		89.48937724		1.58805559		-40		-2.42991862
90.03128000		90.07359926		1.67787079		-27		-1.64981551
90.03128000		90.13955091		1.74382244		-30		-1.80495785
90.08400000		90.10884369		1.78750445		-35		-2.15709103
90.08400000		90.15393183		1.83259259		-31		-1.89149274
91.67760000		91.70262939		1.87860087		-24		-1.46574575
91.67760000		91.74936420		1.92533569		-14		-0.87524255
88.19119000		88.21369800		1.97305053		-17		-719.76984990
88.19119000		88.24934666		2.00869919		-41		-2.49425436
87.09906000		87.10758799		2.02577488		-65		-3.92152093
87.09906000		87.15247244		2.07065933		-65		-4400.27147076
90.58523000		90.63648812		2.17723779		-56		-3.36858563
90.58523000		90.76223392		2.30298360		-26		-2875.91490229
88.88723000		88.94765965		2.41488600		-10		-0.65206662
88.88723000		89.03031627		2.49754262		-21		-21.36452362
91.83659000		91.85296826		2.53461371		-20		-1.20710705
91.83659000		91.87175801		2.55340346		-1		-0.09288310
91.92600000		91.95618357		2.60732726		17		1.06708323
91.92600000		91.99800204		2.64914573		21		1.28838636
88.96070000		88.93961738		2.61309577		12		0.76438578
88.96070000		88.89164208		2.56512048		-7		-0.47907883
90.26394000		90.24923117		2.53570563		-24		-2013.54739133
