GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			tan_tmp			s			x_error
76.23028000		75.53364927		-4.79472738		500		85.97395940		-14.46224282		90.00000154		75.53364927		14.46224282		-3.22904971		7.67031570		0.67700750
70.89904000		70.83009137		-5.45870734		500		86.36417233		-19.16918055		90.00000154		70.83009137		19.16918055		-3.13045892		7.58330648		0.65629495
70.89904000		70.14610732		-6.14269140		500		24.99288370		-19.85021342		90.00000154		70.14610732		19.85021342		-3.09109613		7.55933733		0.64802648
72.79292000		72.70289432		-6.84995546		500		66.33792913		-17.29589518		90.00000154		72.70289432		17.29589518		-3.04543433		7.46061668		0.63843562
72.79292000		71.99955194		-7.55329783		500		62.53140756		-17.99516015		90.00000154		71.99955194		17.99516015		-3.00986788		7.43658030		0.63096576
67.66100000		67.63702530		-8.21792637		500		55.65580827		-22.35864115		90.00000154		67.63702530		22.35864115		-2.83701759		7.33863026		0.59466964
67.66100000		67.00758935		-8.84736232		500		37.76828113		-22.99218500		90.00000154		67.00758935		22.99218500		-2.79030813		7.31444419		0.58486320
67.33425000		67.32752568		-9.42841148		466		27.96613421		-22.67173903		90.00000154		67.32752568		22.67173903		-2.71100892		7.22731461		0.56821648
67.33425000		66.79700500		-9.95893216		301		18.08179122		-23.20081467		90.00000154		66.79700500		23.20081467		-2.66450700		7.20355701		0.55845567
67.37022000		67.30662793		-10.44107527		136		8.18447226		-22.68870682		90.00000154		67.30662793		22.68870682		-2.57889450		7.13482209		0.54048743
67.37022000		66.84628906		-10.90141415		-33		-1.99167220		-23.15178907		90.00000154		66.84628906		23.15178907		-2.53197780		7.11085926		0.53064165
64.37269000		64.31935019		-11.31525778		-199		-11.99801376		-25.68005189		90.00000154		64.31935019		25.68005189		-2.49295712		7.05648332		0.52245344
64.37269000		63.95119962		-11.68340835		-322		-5.66122171		-26.04678610		90.00000154		63.95119962		26.04678610		-2.44106307		7.03328021		0.51156460
64.37269000		63.60004168		-12.03456629		-332		-2.87818590		-26.39818110		90.00000154		63.60004168		26.39818110		-2.38809732		7.00997047		0.50045176
62.01371000		61.69025444		-12.36779929		-343		-8.69730756		-28.30391853		90.00000154		61.69025444		28.30391853		-2.31894159		6.98705662		0.48594335
67.11925000		67.11187077		-12.66496186		-354		-21.28467794		-22.88805322		90.00000154		67.11187387		22.88805322		-2.28710975		6.91317898		0.47926572
67.11925000		66.84675991		-12.93007273		-361		-11.97117413		-23.15140791		90.00000154		66.84675991		23.15140791		-2.24112001		6.88986085		0.46961860
66.74809000		66.73779717		-13.17893298		-365		-21.91596679		-23.26124963		90.00000154		66.73779717		23.26124963		-2.20183415		6.84581711		0.46137820
66.74809000		66.51174242		-13.40498773		-367		-22.06371835		-23.48773020		90.00000154		66.51174242		23.48773020		-2.15469634		6.82233016		0.45149140
60.51639000		66.31446785		-13.60226230		-374		-22.45224076		-23.68326121		90.00000154		66.31446785		23.68326121		-2.49148242		6.77910588		0.43512000
60.51639000		66.13462309		-13.78210707		-382		-0.40150418		-23.86455705		90.00000154		66.13462309		23.86455705		-2.49148242		6.77910588		0.43512000
65.21553000		65.19087403		-13.95403577		-387		-2.29946438		-24.80827881		90.00000154		65.19087403		24.80827881		-2.38990968		6.72308613		0.41736000
65.21553000		65.02879337		-14.11611643		-391		-23.51874993		-24.97067839		90.00000154		65.02879337		24.97067839		-2.38990968		6.72308613		0.41736000
67.34119000		67.31576254		-14.27400129		-396		-3.13154323		-22.68342292		90.00000154		67.31576254		22.68342292		-2.28832191		6.65611717		0.39960000
67.34119000		67.14904179		-14.44072205		-400		-22.38855847		-22.84954784		90.00000154		67.14904179		22.84954784		-1.89056527		6.64704745		0.39610282
63.48580000		63.45155073		-14.60400127		-404		-3.27350182		-26.54763445		90.00000154		63.45155249		26.54763445		-1.81128906		6.58432403		0.37948191
63.48580000		63.29619987		-14.75935214		-407		-20.27943172		-26.70249765		90.00000154		63.29619987		26.70249765		-1.75799324		6.56143232		0.36830882
65.74672000		65.74004522		-14.90865488		-410		-10.54060089		-24.25896639		90.00000154		65.74004522		24.25896639		-1.69352803		6.48790195		0.35479500
65.74672000		65.59818783		-15.05051227		-411		-8.13313222		-24.40103314		90.00000154		65.59818783		24.40103314		-1.64446215		6.46462878		0.34450994
66.82645000		66.79823508		-15.18369952		-412		-24.73968885		-23.20072266		90.00000154		66.79823508		23.20072266		-1.29175077		6.35660022		0.31568774
66.82645000		66.69222766		-15.28970694		-412		-14.03448663		-23.30715225		90.00000154		66.69222766		23.30715225		-1.21126178		6.30990923		0.29601118
61.90281000		61.88645011		-15.37093881		-411		-1.77827527		-28.11324011		90.00000154		61.88645011		28.11324011		-1.12718107		6.22186332		0.27545783
61.90281000		61.83590978		-15.42147914		-413		-16.44170019		-28.16341081		90.00000154		61.83590978		28.16341081		-1.03184246		6.17733230		0.25215393
66.83469000		66.83464764		-15.43892982		-413		-10.67900900		-23.16536328		90.00000154		66.83464764		23.16536328		-0.93792382		6.06144920		0.22919849
66.83469000		66.85743955		-15.41613791		-409		-24.55480392		-23.14270708		90.00000154		66.85743955		23.14270708		-0.75326940		6.01418220		0.21036462
63.13227000		63.14834606		-15.34302044		-408		-19.67907282		-26.85241842		90.00000154		63.14834606		26.85241842		-0.61619763		5.94509718		0.17208147
63.13227000		63.26741642		-15.22395007		-411		-7.62581639		-26.73340755		90.00000154		63.26741642		26.73340755		-0.49528844		5.87736880		0.13831407
66.49219000		66.50657631		-15.05537708		-414		-24.85659984		-23.49374252		90.00000154		66.50657631		23.49374252		-0.40563439		5.80916915		0.11327638
66.49219000		66.73164107		-14.83031231		-414		-24.85061552		-23.26948608		90.00000154		66.73164107		23.26948608		-0.29907626		5.73985429		0.08351861
67.75973000		67.85013353		-14.55050598		-413		-17.50880990		-22.15226952		90.00000154		67.85013353		22.15226952		-0.17461875		5.41351538		0.04876290
67.75973000		68.19192740		-14.20871212		-411		-15.65487391		-21.81063340		90.00000154		68.19192740		21.81063340		-0.05176888		5.34255766		0.01626368
67.66876000		68.61062008		-13.79001943		-409		-24.55842909		-21.38983399		90.00000154		68.61062008		21.38983399		0.08705956		5.15666200		0.02735059
67.66876000		69.11187505		-13.28876446		-405		-7.13810438		-20.89118245		90.00000154		69.11187505		20.89118245		0.20288025		5.06292834		0.06373698
68.71572000		68.84566801		-12.71896239		-403		-14.88808121		-21.15776097		90.00000154		68.84566801		21.15776097		0.27882760		4.89802257		0.08759696
68.71572000		69.48172778		-12.08290263		-401		-24.07425397		-20.51927368		90.00000154		69.48172778		20.51927368		0.39280429		4.80479303		0.12340504
70.21574000		70.36119578		-11.35429151		-394		-23.68749437		-19.64153361		90.00000154		70.36119578		19.64153361		0.50293784		4.71150041		0.15800664
70.21574000		71.17735579		-10.53813150		-388		-14.38275130		-18.82727411		90.00000154		71.17735579		18.82727411		0.60841041		4.61788177		0.19114495
71.44132000		71.63574065		-9.64954614		-382		-22.97032795		-18.36671805		90.00000154		71.63574065		18.36671805		0.69949418		4.31977642		0.21976349
71.44132000		72.60498943		-8.68029736		-377		-10.41838504		-17.40168441		90.00000154		72.60497810		17.40168441		0.79681114		4.22691738		0.25034174
74.94064000		75.23024554		-7.60657207		-371		-22.31116401		-14.77234104		90.00000154		75.23024554		14.77234104		0.86903481		3.99956406		0.27303627
74.94064000		76.40266322		-6.43415439		-361		-0.30947863		-13.60278614		90.00000154		76.40266322		13.60278614		0.94683608		3.90496328		0.29748440
76.74860000		77.11004172		-5.16693087		-348		-20.92799434		-12.90168565		90.00000154		77.11004172		12.90168565		0.93748760		3.65623558		0.32727411
76.74860000		78.43488866		-3.84208393		-337		-4.54227656		-11.58425646		90.00000154		78.43488866		11.58425646		1.01287263		3.53804065		0.35359608
80.40301000		80.79084474		-2.55437739		-327		-4.89207401		-9.21571945		90.00000154		80.79084474		9.21571945		1.03529640		3.41486122		0.36142595
80.40301000		81.95993259		-1.38528953		-314		-14.22380782		-8.04830883		90.00000154		81.95993259		8.04830883		1.08871525		3.29472556		0.38007905
86.37168000		86.41515607		-0.31872129		-297		-13.14761636		-3.59251022		90.00000154		86.41515607		3.59251022		1.18768729		2.99044262		0.37317641
86.37168000		87.44411287		0.71023551		-277		-16.63820319		-2.55766551		90.00000154		87.44411287		2.55766551		1.20497988		2.89069328		0.37861141
86.05544000		86.26430947		1.63989582		-259		-15.54629035		-3.73836592		90.00000154		86.26430947		3.73836592		1.24850463		2.79346625		0.39229138
86.05544000		87.10059772		2.47618407		-242		-14.53371312		-2.90152691		90.00000154		87.10059772		2.90152691		1.26702093		2.69494637		0.39811125
87.99764000		88.22226213		3.27405049		-226		-8.86740480		-1.78258741		90.00000154		88.22226213		1.78258741		1.27470540		2.35028218		0.40052659
87.99764000		88.99805405		4.04984241		-209		-12.18265558		-1.00827043		90.00000154		88.99805405		1.00827043		1.28250284		2.25155781		0.40297745
88.29341000		88.46558628		4.79016614		-191		-1.53350799		-1.53770922		90.00000154		88.46558628		1.53770922		1.27417944		2.15189612		0.40036127
88.29341000		89.17412989		5.49870975		-175		-10.52652726		-0.82781153		90.00000154		89.17412989		0.82781153		1.28055996		2.05223399		0.40236677
91.90003000		92.09869370		6.15927284		-157		-1.32486243		2.09560671		90.00000154		92.09869370		-2.09560671		1.14083264		1.69447077		0.39827834
91.90003000		92.70992571		6.77050486		-135		-3.89292447		2.70716416		90.00000154		92.70992571		-2.70716416		1.12590117		1.57302558		0.39306424
89.54204000		89.62698282		7.33360930		-114		-7.02369402		-0.37710647		90.00000154		89.62698282		0.37710647		1.11074051		1.45203680		0.38777015
89.54204000		90.12254698		7.82917346		-96		-6.03279098		0.11925025		90.00000154		90.12254698		-0.11925025		1.11150367		1.33303869		0.38803664
92.85763000		92.99866010		8.26312720		-78		-4.56359076		2.99623972		90.00000154		92.99865557		-2.99623972		1.08765260		1.00622472		0.37970798
92.85763000		93.37343980		8.63790689		-61		-1.83385011		3.37193645		90.00000154		93.37343980		-3.37193645		1.06755696		0.88939675		0.37269080
92.76660000		92.84726955		8.95039463		-44		-2.67441848		2.84711690		90.00000154		92.84726955		-2.84711690		1.06355331		0.66651288		0.37129278
92.76660000		93.09995453		9.20307960		-29		-1.36708402		3.09889238		90.00000154		93.09995453		-3.09889238		1.04498764		0.56994597		0.36480995
92.74960000		93.29189220		9.39501727		-15		-1.17344340		3.29064072		90.00000154		93.29189220		-3.29064072		0.91847951		0.42527167		0.35270102
92.74960000		93.43419320		9.53731827		-1		-0.09422540		6.73410973		86.69984720		93.43419320		-6.73410973		0.89051318		0.42951187		0.34196004
94.63624000		94.65382444		9.62664535		10		-0.69867035		4.65348294		90.00000154		94.65382444		-4.65348294		0.84732835		0.44116655		0.32537444
94.63624000		94.67612954		9.64895044		21		1.28027328		8.37125353		86.30486747		94.67612954		-8.37125353		0.79812869		0.47467451		0.30647924
93.68483000		93.67396011		9.62796638		29		0.76843595		5.26886164		88.40547120		93.67396011		-5.26886164		0.74768899		0.49093797		0.28710826
93.68483000		93.60922376		9.56323003		36		-0.35152141		5.20425263		88.40547120		93.60922376		-5.20425263		0.71188641		0.48790601		0.27335882
91.95960000		91.93094810		9.44084048		43		2.58577067		3.33246512		88.59866522		91.93094810		-3.33246512		0.68570263		0.51054118		0.26330347
91.95960000		91.76977047		9.27966285		47		2.85306106		3.17155929		88.59866522		91.76977047		-3.17155929		0.66353141		0.49791789		0.25478916
93.29354000		93.22539590		9.10486989		51		3.11181124		5.66006267		87.56707949		93.22539590		-5.66006267		0.57885789		0.53040819		0.22227303
93.29354000		93.01864902		8.89812302		57		3.43235781		5.27430445		87.74490722		93.01864902		-5.27430445		0.54112781		0.55155550		0.20778434
91.88306000		91.79753061		8.65516490		62		3.72884588		4.05300868		87.74490722		91.79753061		-4.05300868		0.46711763		0.54888723		0.19567011
91.88306000		91.54675638		8.40439067		64		3.87888086		3.51699546		88.03254875		91.54675638		-3.51699546		0.43993652		0.58750217		0.18428380
92.31124000		92.22041026		8.13069121		65		3.94060935		4.18864763		88.03254875		92.22041026		-4.18864763		0.40447461		0.58639301		0.16942874
92.31124000		91.91682938		7.82711033		66		3.99181045		3.76758726		88.15051132		91.91682938		-3.76758726		0.37526568		0.60802481		0.15719316
91.94423000		91.87510700		7.51505750		70		4.20501734		3.72761234		88.15051132		91.87510700		-3.72761234		0.32738271		0.58759873		0.13713524
91.94423000		91.56630820		7.20625870		72		4.37867265		3.21865700		88.34855473		91.56630820		-3.21865700		0.30141455		0.67778877		0.12625740
90.23816000		90.18417140		6.90216108		72		4.36240633		1.83792297		88.34855473		90.18417140		-1.83792297		0.29437982		0.64024262		0.12331061
90.23816000		89.86347161		6.58146129		71		4.26726100		1.51756520		88.34855473		89.86347161		-1.51756520		0.30883409		0.64831528		0.11858492
89.96796000		89.85733071		6.25491295		69		4.17678518		1.42500386		88.43248353		89.85733071		-1.42500386		0.28368364		0.66808044		0.10892759
89.96796000		89.55873513		5.95631737		67		2.74181297		1.12823710		88.43248353		89.55873513		-1.12823710		0.27505102		0.66663839		0.10561282
88.66653000		88.57811256		5.65440207		65		3.92326177		0.74793604		87.83291107		88.57811256		-0.74793604		0.27580439		0.74341297		0.10590210
88.66653000		88.28226287		5.35855238		60		0.22595813		0.45054897		87.83291107		88.28226287		-0.45054897		0.27166284		0.72267791		0.10431182
87.14005000		87.07115439		5.09287561		55		3.30750646		-0.76133159		87.83291107		87.07115439		0.76133159		0.25623348		0.72073951		0.09838725
87.14005000		86.80925952		4.83098074		47		2.86444015		-1.02278155		87.83291107		86.80925952		1.02278155		0.26234405		0.74001223		0.10073359
87.51738000		87.44241254		4.58285569		42		2.53764907		-0.51717102		87.96027599		87.44241254		0.51717102		0.26105828		0.76345052		0.10023988
87.51738000		87.24127292		4.38171608		37		1.06524664		-0.71794026		87.96027599		87.24127489		0.71794026		0.26531413		0.76211282		0.10187404
87.63758000		87.59777998		4.20297005		34		2.02687053		-0.36114062		87.96027599		87.59777998		0.36114062		0.24283851		0.77226408		0.09324385
87.63758000		87.42659344		4.03178351		30		2.01116935		-1.28752777		88.71540234		87.42659344		1.28752777		0.24809939		0.82077905		0.09526392
87.01732000		86.96366322		3.88055725		24		1.46914585		-1.75046063		88.71540234		86.96366322		1.75046063		0.26382210		0.80501663		0.10130113
87.01732000		86.84386077		3.76075480		18		1.12934145		-1.87114492		88.71540234		86.84386077		1.87114492		0.27625393		0.80744476		0.10607471
85.09512000		85.05483969		3.64997567		13		0.82313922		-3.09519943		88.15051136		85.05483969		3.09519943		0.28980454		0.88272656		0.11127790
85.09512000		84.96057315		3.55570913		7		0.33051827		-3.18957239		88.15051136		84.96057315		3.18957239		0.31126183		0.85115682		0.11951714
86.48760000		86.47076120		3.50030055		2		0.13535116		-1.67968394		88.15051136		86.47076120		1.67968394		0.29645529		0.84087872		0.11383167
86.48760000		86.43548729		3.46502665		-2		-0.12941738		-1.71499344		88.15051136		86.43548729		1.71499344		0.30814955		0.84514875		0.11832207
86.62023000		86.61789251		3.44959263		-6		-0.41923768		-2.19628259		88.81418827		86.61789251		2.19628259		0.30659043		0.91551736		0.11772339
86.62023000		86.61875454		3.45045466		-11		0.34432526		-2.19548813		88.81418827		86.61875454		2.19548813		0.32172104		0.88436847		0.12353331
85.48922000		85.49683782		3.46905221		-16		-0.08038541		-3.31750751		88.81418827		85.49683782		3.31750751		0.33311488		0.87687917		0.12790837
85.48922000		85.53896257		3.51117696		-21		-0.49222333		-3.27550914		88.81418827		85.53896257		3.27550914		0.35586730		0.88286715		0.13664499
87.00573000		85.58974267		3.56195706		-25		-1.52930613		-2.67629401		88.26603158		85.58974267		2.67629401		0.35501952		0.93849983		0.13631945
87.00573000		85.66708777		3.63930216		-28		-1.73577882		-2.59910369		88.26603158		85.66708777		2.59910369		0.37287999		0.91222475		0.14317766
85.86797000		85.91412876		3.74722613		-31		-1.05596960		-2.35276216		88.26603158		85.91412876		2.35276216		0.37856649		0.90502282		0.14536121
85.86797000		86.02678783		3.85988520		-33		-2.01455848		-2.23938611		88.26603158		86.02678783		2.23938611		0.39430734		0.90594589		0.15140554
86.48053000		86.52126610		3.98783571		-34		-0.40001986		-2.35160765		88.87201749		86.52126610		2.35160765		0.37529634		0.96434226		0.14410551
86.48053000		86.67438650		4.14095610		-35		-2.15073917		-2.19767343		88.87201749		86.67438650		2.19767343		0.39115567		0.93616871		0.15019533
87.33236000		86.83468189		4.30125150		-37		-0.17612572		-2.03812307		88.87201749		86.83468189		2.03812307		0.39563384		0.92716797		0.15191490
87.33236000		86.98749654		4.45406615		-38		-2.28311680		-1.88477845		88.87201749		86.98749654		1.88477845		0.40910379		0.93299323		0.15708725
88.20254000		88.24277663		4.61464762		-38		-2.32097789		-0.62930704		88.87201749		88.24277663		0.62930704		0.41961148		0.95092098		0.16112212
88.20254000		88.41672378		4.78859477		-37		-2.27465568		-0.52169327		88.93682883		88.41672378		0.52169327		0.42337915		1.03221729		0.16256888
87.46048000		87.53054344		4.96207623		-37		-2.22623183		-1.40796385		88.93682883		87.53054344		1.40796385		0.39617387		0.98133759		0.15212227
87.46048000		87.70755562		5.13908840		-36		-2.18072238		-1.22928720		88.93682883		87.70755562		1.22928720		0.37247852		0.98939698		0.15602563
88.89512000		88.97784771		5.32101395		-33		-0.14251370		0.01645758		88.96071509		88.97784771		-0.01645758		0.35945595		1.02490921		0.15057053
88.89512000		89.14802282		5.49118906		-31		-1.88116726		0.18687200		88.96071509		89.14802282		-0.18687200		0.35871674		1.00610987		0.15026088
88.80429000		88.86801111		5.65391283		-29		-1.77322473		-0.09389508		88.96071509		88.86801111		0.09389508		0.33877391		0.99991218		0.14190693
88.80429000		89.01584396		5.80174568		-27		-1.65446967		0.05471137		88.96071509		89.01584396		-0.05471137		0.33890774		1.00622654		0.14196299
89.19187000		89.23801419		5.94063122		-25		-1.45518860		-0.25456534		89.49173661		89.23801419		0.25456534		0.33937227		1.04785770		0.14215758
89.19187000		89.37180872		6.07442574		-22		-0.52040755		-0.12050384		89.49173661		89.37180872		0.12050384		0.34073438		1.02635148		0.14272817
88.53667000		88.56545320		6.19288054		-19		-1.16723768		-0.92708349		89.49173661		88.56545320		0.92708349		0.32967779		1.02009731		0.13809663
88.53667000		88.67705941		6.30448675		-17		-0.15024485		-0.81511214		89.49173661		88.67705941		0.81511214		0.33604854		1.02585469		0.14076529
90.40856000		90.44770296		6.40514529		-15		-0.90459811		0.94470977		89.50266648		90.44770296		-0.94470977		0.31477597		1.06159385		0.13185437
90.40856000		90.52850086		6.48594319		-11		-0.73972490		1.02531483		89.50266648		90.52850086		-1.02531483		0.30759931		1.04313909		0.12884813
90.83475000		90.86483621		6.55927950		-8		-0.57244608		1.36152480		89.50266648		90.86483621		-1.36152480		0.30286051		1.03909199		0.12686309
90.83475000		90.93007997		6.62452325		-5		-0.43569174		1.42694690		89.50266648		90.93007997		-1.42694690		0.29269496		1.04266589		0.12260484
90.51889000		90.53686907		6.67322748		-3		-0.18860882		1.01857631		89.51820746		90.53686907		-1.01857631		0.29307327		1.08802381		0.12276331
90.51889000		90.56595035		6.70230875		0		-0.12329174		1.04761869		89.51820746		90.56595035		-1.04761869		0.28551135		1.07278895		0.11959570
90.23661000		90.24327688		6.72453389		1		-0.16754399		0.72502357		89.51820746		90.24327688		-0.72502357		0.26209608		1.06779436		0.10978731
90.23661000		90.24231070		6.72356771		2		0.15204839		0.72412968		89.51820746		90.24231070		-0.72412968		0.25670489		1.07097494		0.10752901
90.09668000		90.09849586		6.72198963		3		0.21183879		0.57044273		89.52803954		90.09849586		-0.57044273		0.25255314		1.10645467		0.10578990
90.09668000		90.08954767		6.71304144		5		0.31620447		0.56151006		89.52803954		90.08954767		-0.56151006		0.24828281		1.09122447		0.10400111
89.61347000		89.60192729		6.68454878		6		-0.03186245		0.07402373		89.52803954		89.60192729		-0.07402373		0.24287944		1.08793124		0.10173771
89.61347000		89.58536372		6.66798521		6		0.38423991		0.05739074		89.52803954		89.58536372		-0.05739074		0.24239921		1.09102196		0.10153655
90.67049000		90.65509131		6.64200515		6		0.39100070		0.65553840		90.00000154		90.65509131		-0.65553840		0.20971267		1.13771178		0.08784463
90.67049000		90.61166163		6.59857547		7		0.06443647		0.61190486		90.00000154		90.61166163		-0.61190486		0.20505027		1.13021385		0.08589162
90.29323000		90.28311687		6.57019063		7		0.44794339		0.28313264		90.00000154		90.28311687		-0.28313264		0.19471940		1.12923863		0.08836120
90.29323000		90.25670597		6.54377973		7		0.46407310		0.25671017		90.00000154		90.25670597		-0.25671017		0.19262558		1.13188275		0.08741104
91.14888000		91.13822247		6.50776742		8		0.49865958		1.13837610		90.00000154		91.13822247		-1.13837610		0.19303386		1.16475151		0.08759632
91.14888000		91.10001982		6.46956478		9		0.55737218		1.10005963		90.00000154		91.10001982		-1.10005963		0.18430157		1.15204066		0.08363369
89.16469000		89.15221680		6.43279402		10		0.01567486		-0.84762495		90.00000154		89.15221680		0.84762495		0.19783668		1.15112902		0.08977579
89.16469000		89.11543967		6.39601690		10		0.66207537		-0.88426682		90.00000154		89.11543967		0.88426682		0.20446969		1.15364508		0.09278579
90.20428000		90.17745637		6.34387152		9		0.39631068		0.61408666		89.56365788		90.17745637		-0.61408666		0.19345064		1.18525435		0.08778545
