-26.79276216	0	0
0.71429288	1	0
0.72315000	2	0
0.12777756	3	0
0.05931519	4	0
0.14361949	5	0
0.23226814	6	1
0.17272799	7	0
0.20134365	8	0
0.02782332	9	1
0.12636364	10	1
0.16123962	11	1
0.08666200	12	2
0.05737268	13	2
0.07421495	14	5
-0.17207508	15	7
-0.11686237	16	8
-0.18746205	17	7
-0.08898332	18	7
0.06119984	19	8
0.03296255	20	9
-0.03101399	21	10
-0.00119139	22	13
-0.01389545	23	16
-0.02856219	24	18
-0.04762516	25	21
-0.01802207	26	22
-0.12689512	27	23
-0.01002948	28	24
0.06530684	29	24
-0.47083450	30	25
0.56245514	31	17
0.48323533	32	16
-0.93781785	33	16
-1.27995872	34	17
-0.60738396	35	14
2.03380754	36	7
2.25257261	37	9
1.40017158	38	3
0.96558380	39	4
0.36064082	40	10
0.01373939	41	11
0.45952433	42	6
-0.27605704	43	3
-0.23538019	44	0
-0.23538019	45	0
-0.23538019	46	0
-0.23538019	47	0
