0.00000000	0	0	2.00000000
1.63974665	1	0	2.00000000
1.63974665	2	0	2.00000000
1.63010029	3	0	2.00000000
0.81532322	4	1	2.00000000
0.49334744	5	2	2.00000000
0.31789782	6	4	2.00000000
0.17498090	7	6	2.00000000
0.31950673	8	6	2.00000000
0.25329275	9	5	2.00000000
0.10854328	10	5	2.00000000
0.03913093	11	4	2.00000000
0.05320670	12	4	2.00000000
0.18299421	13	4	2.00000000
0.06867473	14	4	2.00000000
0.02640440	15	6	2.00000000
0.04708769	16	6	2.00000000
0.02281341	17	8	2.00000000
0.03494504	18	9	2.00000000
-0.05674861	19	11	1.50250000
-0.02172418	20	14	1.00500000
-0.02220730	21	16	0.77088235
-0.05154042	22	18	0.58605263
-0.05180655	23	20	0.43642857
-0.10480694	24	22	0.31282609
-0.05759942	25	23	0.25875000
-0.10442295	26	24	0.20900000
-0.13073260	27	25	0.16307692
-0.22677407	28	26	0.12055556
-0.13486867	29	26	0.12055556
-0.27063911	30	27	0.08107143
-0.28712897	31	28	0.04431034
-0.12786735	32	25	0.16307692
-0.54924982	33	14	1.00500000
-0.28821956	34	4	2.00000000
0.75542787	35	0	2.00000000
