-26.79276216	0
0.80493381	1
0.80414456	2
0.00350077	3
0.05232213	4
0.13410902	5
0.13271898	6
0.22121743	7
0.16828230	8
-0.21543232	9
-0.05397469	10
-0.10488847	11
-0.13948391	12
-0.11823894	13
-0.08475443	14
-0.00503910	15
-0.00389388	16
-0.02354908	17
-0.01532637	18
0.02360443	19
-0.06215343	20
-0.04083637	21
-0.00349480	22
-0.01637111	23
-0.04738255	24
-0.00337149	25
-0.00166724	26
-0.00031780	27
-0.04145957	28
-0.04380552	29
-0.05921760	30
-0.08995230	31
-0.03123523	32
-0.03986250	33
-0.09316201	34
-0.01690850	35
-0.01883519	36
-0.03536402	37
-0.04033514	38
-0.04145185	39
-0.01425444	40
-0.03089338	41
-0.03629897	42
-0.05909356	43
-0.03314043	44
-0.01667693	45
-0.04288849	46
-0.00307799	47
-0.03527147	48
-0.05537293	49
-0.04369053	50
-0.03670535	51
-0.06593779	52
0.65827958	53
1.04557488	54
1.64490125	55
