-26.79276216	0	0
0.22319897	1	0
0.22319897	2	0
0.22319897	3	0
0.13947742	4	0
0.17567849	5	1
0.43105594	6	3
-0.31430406	7	5
-0.28125744	8	6
-0.20491985	9	6
-0.32050228	10	6
-0.28520921	11	5
-0.07151009	12	4
-0.10616232	13	5
-0.18806909	14	6
-0.15225186	15	6
-0.20726867	16	8
-0.18202378	17	10
-0.18234173	18	12
-0.19453287	19	14
-0.13409734	20	17
-0.17785434	21	19
-0.20003452	22	21
-0.17972011	23	22
-0.22412136	24	23
-0.16471667	25	24
-0.19703192	26	25
-0.26421481	27	26
-0.10086252	28	27
-0.39037143	29	27
-0.09543618	30	28
-0.10303477	31	20
-0.45657870	32	12
-0.25358484	33	4
1.85260699	34	0
1.85260699	35	0
