-26.79276216	0	0
0.94129170	1	0
0.95014882	2	0
0.93813471	3	0
0.14650699	4	0
0.17185083	5	1
0.15656562	6	1
0.28113746	7	3
0.12637981	8	4
0.10470810	9	5
0.01775341	10	6
-0.07119700	11	6
-0.06630462	12	6
-0.13931540	13	5
-0.17832542	14	4
-0.25726052	15	4
-0.21567032	16	4
-0.02832316	17	4
-0.10711687	18	5
-0.13814003	19	6
-0.17073438	20	7
-0.15292606	21	9
-0.19513427	22	10
-0.19558379	23	12
-0.16849674	24	15
-0.21563812	25	17
-0.22414329	26	19
-0.23052601	27	21
-0.29035396	28	22
-0.30479731	29	23
-0.31222170	30	24
-0.30929335	31	25
-0.41052525	32	26
-0.34248435	33	27
-0.49889444	34	27
-0.43117826	35	28
-0.43271451	36	16
-0.57200493	37	6
-0.55443363	38	4
