0.00000000	0	0
-0.49070780	1	0
-0.49070780	2	0
-0.49037275	3	0
-0.48048861	4	0
-0.43318417	5	1
-0.49896971	6	1
0.61475080	7	4
0.54536866	8	6
0.06400354	9	6
0.03689788	10	7
0.03865548	11	8
0.08123540	12	8
0.00836429	13	8
0.01614333	14	8
0.04206351	15	8
-0.03447991	16	8
-0.04301156	17	8
-0.02289060	18	8
-0.03076492	19	8
-0.01038285	20	8
-0.01396699	21	8
-0.02730825	22	8
-0.05906819	23	8
-0.01259035	24	8
-0.04802207	25	8
-0.01508182	26	8
-0.02075060	27	8
-0.02738044	28	8
0.03940917	29	8
0.00961039	30	8
-0.18319477	31	8
-0.10496658	32	8
-0.37697394	33	8
-0.75740695	34	7
-1.14217996	35	7
-1.55412293	36	7
-1.88135724	37	8
-1.93029480	38	8
-1.25984901	39	8
-0.31831201	40	8
-0.15182624	41	8
-0.12109049	42	8
-0.03851697	43	7
-0.09578979	44	7
-2.46020815	45	5
-3.41135797	46	3
-4.18654492	47	2
-4.40948044	48	0
