GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		stanley_atan		s		triangle_area		distance_a		distance_b		distance_c		x_error
176.04643000		176.04643000		0.00000000		 0		0.00000000		0.00000000		0.00000000		176.04643000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04459796		-0.00682209		-7		0.00000000		-0.43239199		0.00000000		176.04459796		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04530779		-0.01168536		-7		0.00000000		-0.43136761		0.00000000		176.04530779		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04657813		-0.01285649		-7		0.00000000		-0.43233189		0.00000000		176.04657808		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04718575		-0.00749145		-7		0.00000000		-0.42962646		0.00000000		176.04718575		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04450179		-0.00970974		-5		0.00000000		-0.35670320		0.00000000		176.04450179		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04707019		-0.01299111		-6		0.00000000		-0.37307996		0.00000000		176.04707019		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04676795		-0.01726722		-7		0.00000000		-0.43110295		0.00000000		176.04676795		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04756569		-0.01810448		-7		0.00000000		-0.43158750		0.00000000		176.04756569		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04718966		-0.02480670		-6		0.00000000		-0.41268618		0.00000000		176.04718966		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.04493923		-0.02076804		-6		0.00000000		-0.39842477		0.00000000		176.04493923		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.04643000		176.05008848		-0.01268727		-7		0.00000000		-0.42963928		0.00000000		176.05008848		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
174.92017000		174.91645072		-0.03896327		-3		0.00000000		-0.23198711		0.00000000		174.91645072		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
175.87665000		175.89279549		-0.05090303		-7		0.00000000		-0.43608564		0.00000000		175.89279549		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
176.13881000		176.18160625		0.37584942		-9		0.00000000		-0.58780809		0.00000000		176.18160625		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
177.09488000		177.16395179		1.03205402		-7		0.00000000		-0.42734384		0.00000000		177.16395179		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
177.47191000		177.59221685		2.14929952		0		0.00000000		0.05084982		0.00000000		177.59222246		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
179.18606000		179.27853894		3.35969719		16		0.00000000		0.97613982		0.00000000		179.27853894		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
179.33743000		179.30534588		3.46741853		40		0.00000000		2.44749355		0.00000000		179.30534588		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
178.92417000		178.89050970		3.17524498		61		0.00000000		3.70973324		0.00000000		178.89050970		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
177.55525000		177.18101292		1.08442891		149		0.00000000		8.96308174		0.00000000		177.18098479		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
168.85846000		167.62606339		-8.09660390		323		0.00000000		19.41985397		0.00000000		167.62598345		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
149.95185000		148.02384531		-24.97974324		415		0.00000000		24.93734607		0.00000000		148.02384531		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
129.04704000		127.36159991		-43.85241420		407		0.00000000		24.43244970		0.00000000		127.36151448		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
107.96472000		106.13823455		-62.99655295		258		0.00000000		15.50346707		0.00000000		106.13823455		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
93.74971000		    93.13848748		-75.32018497		81		0.00000000		4.88734749		0.00000000		93.13848748		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
90.78427000		90.78317205		-77.27460946		15		0.00000000		0.90287135		0.00000000		90.78317205		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
90.76975000		90.88441864		-77.13173923		7		0.00000000		0.46002747		0.00000000		90.88441864		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
91.74265000		91.62827641		-76.48059259		17		0.00000000		1.07485026		0.00000000		91.62827641		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.17439000		89.01587490		-78.70218101		10		0.00000000		0.60414412		0.00000000		89.01587490		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.47551000		89.64131593		-78.09762378		-3		0.00000000		-0.22479052		0.00000000		89.64132579		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
90.09390000		89.93332787		-78.01600776		10		0.00000000		0.65235627		0.00000000		89.93331913		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.60137000		88.59859621		-79.35806462		-1		0.00000000		-0.07071322		0.00000000		88.59859621		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.37320000		89.47329199		-78.05601582		-2		0.00000000		-0.17465863		0.00000000		89.47329734		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.37701000		88.27285320		-79.04122770		5		0.00000000		0.34931579		0.00000000		88.27285320		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.51296000		89.58042389		-78.28128063		-1		0.00000000		-0.06298301		0.00000000		89.58042714		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
90.20832000		90.30501106		-77.47888402		15		0.00000000		0.90092054		0.00000000		90.30501106		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.93293000		88.79746018		-78.01515477		26		0.00000000		1.61501399		0.00000000		88.79746018		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.61126000		89.51347119		-78.22700238		20		0.00000000		1.21040213		0.00000000		89.51347119		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.27930000		89.15989699		-78.81674909		12		0.00000000		0.73968857		0.00000000		89.15988859		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.12120000		89.25805936		-78.30177963		2		0.00000000		0.12432628		0.00000000		89.25805936		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.84530000		88.63969300		-78.56729682		9		0.00000000		0.58471504		0.00000000		88.63968171		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.04385000		88.05387831		-78.50099777		-1		0.00000000		-0.10341638		0.00000000		88.05387831		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
88.27836000		88.41934184		-78.71810383		-7		0.00000000		-0.42934348		0.00000000		88.41934184		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.46037000		89.34692689		-78.40373268		0		0.00000000		0.05345113		0.00000000		89.34692045		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.95150000		90.06306815		-78.02804444		-2		0.00000000		-0.16310626		0.00000000		90.06306815		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
90.32094000		90.32113009		-77.27341430		12		0.00000000		0.75993436		0.00000000		90.32113002		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
89.69486000		89.33354864		-78.80883974		84		0.00000000		5.06604759		0.00000000		89.33349177		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
82.47547000		81.00811582		-87.63605336		205		0.00000000		12.35551800		0.00000000		81.00811582		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
61.33175000		58.93918587		-105.57909868		296		0.00000000		17.79532925		0.00000000		58.93904326		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
36.63073000		34.24996610		-127.52407997		295		0.00000000		17.71619615		0.00000000		34.24996610		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
14.95631000		13.33913664		-145.86098817		216		0.00000000		12.99022227		0.00000000		13.33913664		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
4.39427000		3.63665968		-155.74838027		108		0.00000000		6.50701895		0.00000000		3.63662663		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
