-28.80627389	0	0	2.00000000
-0.85915216	1	0	2.00000000
-0.15942793	2	0	2.00000000
-0.35984225	3	1	2.00000000
-0.49435468	4	3	2.00000000
-0.29091283	5	5	2.00000000
-0.36056676	6	8	2.00000000
-0.35672358	7	7	2.00000000
-0.21207393	8	8	2.00000000
-0.17457741	9	8	2.00000000
-0.15989408	10	8	2.00000000
-0.20749639	11	8	2.00000000
-0.12037396	12	8	2.00000000
-0.08625417	13	8	2.00000000
-0.10807078	14	8	2.00000000
-0.11472829	15	8	2.00000000
-0.03367799	16	8	2.00000000
-0.00662246	17	8	2.00000000
-0.05149509	18	8	2.00000000
-0.07829661	19	8	2.00000000
-0.05262282	20	8	2.00000000
-0.06594894	21	8	2.00000000
-0.05837822	22	8	2.00000000
-0.00542144	23	8	2.00000000
-0.02632967	24	8	2.00000000
-0.04755287	25	8	2.00000000
-0.02895168	26	8	2.00000000
-0.16511014	27	8	2.00000000
-0.19812849	28	8	2.00000000
-0.35901942	29	8	2.00000000
-0.76093801	30	7	2.00000000
-1.09474094	31	7	2.00000000
-1.64458323	32	8	2.00000000
-1.89402221	33	7	2.00000000
-1.57477692	34	8	2.00000000
-1.11092851	35	8	2.00000000
-0.55049081	36	9	2.00000000
-0.14294355	37	8	2.00000000
-0.09899796	38	8	2.00000000
-0.00124790	39	7	2.00000000
-0.08345947	40	7	2.00000000
-0.00440457	41	4	2.00000000
-2.46979713	42	1	2.00000000
