GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			atan_tmp		s			triangle_area		distance_a		distance_b		distance_c		x_error
268.04676000		268.04778972		0.00102972		-58		-3.41425340		-179.69712683		87.74490722		268.04778972		179.69712683		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04780091		0.00104091		-61		-3.68379909		-179.69710708		87.74490722		268.04780091		179.69710708		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04781163		0.00105163		-62		-3.77364764		-179.69709709		87.74490722		268.04781164		179.69709709		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04780291		0.00104291		-64		-3.86349619		-179.69710117		87.74490722		268.04780291		179.69710117		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04779424		0.00103425		-65		0.00000000		-179.69710853		87.74490722		268.04779424		179.69710853		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04778568		0.00102568		-67		0.00000000		-179.69711588		87.74490722		268.04778568		179.69711588		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04777714		0.00101714		-68		0.00000000		-179.69712357		87.74490722		268.04777714		179.69712357		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04776860		0.00100860		-71		-4.31273898		-179.69713825		87.74490722		268.04776860		179.69713825		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04775985		0.00099985		-73		-4.40258755		-179.69714578		87.74490722		268.04775985		179.69714578		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04775115		0.00099115		-74		-4.49243612		-179.69715362		87.74490722		268.04775115		179.69715362		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04774232		0.00098232		-76		0.00000000		-179.69716098		87.74490722		268.04774232		179.69716098		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04773367		0.00097367		-77		0.00000000		-179.69716842		87.74490722		268.04773367		179.69716842		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04772525		0.00096525		-79		0.00000000		-179.69717586		87.74490722		268.04772525		179.69717586		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04771633		0.00095633		-82		-4.94167905		-179.69718391		87.74490722		268.04771633		179.69718391		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04770776		0.00094776		-83		-5.03152764		-179.69719887		87.74490722		268.04770776		179.69719887		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04769903		0.00093903		-85		-5.12137624		-179.69720629		87.74490722		268.04769903		179.69720629		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04769046		0.00093046		-86		-5.21122484		-179.69721383		87.74490722		268.04769046		179.69721383		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
