0.00000000	0
0.68448061	1
0.68448061	2
0.68448061	3
0.68448061	4
0.68369136	5
0.24562692	6
0.40600662	7
0.25860058	8
0.12872795	9
0.16227759	10
0.07948049	11
-0.22913199	12
-0.06675721	13
-0.06201824	14
-0.02058975	15
-0.06376772	16
-0.02115732	17
-0.06527241	18
-0.01347783	19
-0.08479026	20
-0.06719006	21
-0.07393932	22
-0.13408509	23
-0.06050215	24
-0.05785158	25
-0.08917647	26
-0.02145847	27
-0.05436009	28
-0.01650560	29
-0.21575540	30
-0.01693992	31
-0.10271658	32
-0.06104870	33
-0.10317377	34
-0.00084486	35
-0.11808049	36
-0.13761270	37
-0.06536363	38
-0.08907803	39
-0.08311429	40
-0.07309024	41
-0.03422531	42
-0.00530058	43
-0.03857103	44
-0.04169512	45
-0.04436338	46
-0.04602176	47
0.24323061	48
0.05236632	49
0.04383580	50
-0.03703554	51
-0.00749344	52
0.67853116	53
1.03765181	54
1.38389836	55
1.53445160	56
